30
   AZ BD BN BY BS CO CN CH GM HU IL JU LN MA ME MY ML MW NS NY PY PS RO RE SF SO SE SI SY TO 
AZ 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 0 0 0 0 25 0 0 43 21 50 0 0 0 0 73
BD 0 0 20 0 0 0 0 0 63 84 0 0 0 49 0 81 0 0 0 0 0 24 0 0 75 88 0 0 83 0
BN 0 20 0 0 0 18 0 44 71 73 11 46 6 61 0 0 0 0 0 0 0 0 0 0 0 0 0 0 100 0
BY 0 0 0 0 93 0 0 81 48 0 0 69 0 0 0 0 0 31 0 0 97 44 0 0 0 0 0 31 0 0
BS 0 0 0 93 0 0 0 0 0 0 0 0 0 0 72 0 0 0 0 0 33 69 12 0 0 0 0 0 0 0
CO 0 0 18 0 0 0 0 0 0 88 8 63 0 0 0 77 54 18 0 0 0 20 0 0 0 0 0 0 90 0
CN 0 0 0 0 0 0 0 0 88 115 0 0 0 75 64 85 79 0 83 0 70 58 0 52 0 0 0 0 0 0
CH 0 0 44 81 0 0 0 0 0 43 0 0 40 0 0 0 0 0 0 7 0 41 0 48 19 0 0 0 0 63
GM 0 63 71 48 0 0 88 0 0 0 0 0 0 16 0 75 0 61 0 0 0 76 0 76 0 0 0 0 0 0
HU 0 84 73 0 0 88 115 43 0 0 0 28 0 53 0 0 0 0 0 0 53 0 83 0 24 0 0 49 0 0
IL 0 0 11 0 0 8 0 0 0 0 0 0 16 57 0 71 48 0 0 0 0 14 0 0 0 81 0 0 0 0
JU 0 0 46 69 0 63 0 0 0 28 0 0 0 59 0 0 0 0 0 29 45 0 0 53 0 0 0 0 77 0
LN 0 0 6 0 0 0 0 40 0 0 16 0 0 0 0 0 0 0 46 35 53 0 57 0 0 0 0 0 106 60
MA 83 49 61 0 0 0 75 0 16 53 57 59 0 0 0 88 0 0 0 0 103 0 0 0 0 0 0 0 39 0
ME 0 0 0 0 72 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 90 104 0 0 79 0 0 50 0 0
MY 0 81 0 0 0 77 85 0 75 0 71 0 0 88 0 0 0 67 9 0 0 0 48 0 0 41 0 0 0 0
ML 0 0 0 0 0 54 79 0 0 0 48 0 0 0 0 0 0 0 0 3 0 0 0 0 25 0 0 70 0 0
MW 0 0 0 32 0 18 0 0 61 0 0 0 0 0 0 67 0 0 0 0 0 0 0 15 0 0 0 0 0 0
NS 0 0 0 0 0 0 83 0 0 0 0 0 46 0 0 9 0 0 0 12 0 0 0 55 0 0 21 77 0 0
NY 25 0 0 0 0 0 0 7 0 0 0 29 35 0 0 0 3 0 12 0 0 36 0 0 0 51 24 0 0 0
PY 0 0 0 97 33 0 70 0 0 53 0 45 53 103 90 0 0 0 0 0 0 54 0 0 0 31 37 0 0 0
PS 0 24 0 44 69 20 58 41 76 0 14 0 0 0 104 0 0 0 0 36 54 0 57 0 0 0 0 57 0 61
RO 43 0 0 0 12 0 0 0 0 83 0 0 57 0 0 48 0 0 0 0 0 57 0 0 0 18 69 0 0 0
RE 21 0 0 0 0 0 52 48 76 0 0 53 0 0 0 0 0 15 55 0 0 0 0 0 63 0 0 0 0 0
SF 50 75 0 0 0 0 0 19 0 24 0 0 0 0 79 0 25 0 0 0 0 0 0 63 0 0 0 61 0 0
SO 0 88 0 0 0 0 0 0 0 0 81 0 0 0 0 41 0 0 0 51 31 0 18 0 0 0 0 117 71 0
SE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 24 37 0 69 0 0 0 0 0 0 0
SI 0 0 0 31 0 0 0 0 0 49 0 0 0 0 50 0 70 0 77 0 0 57 0 0 61 117 0 0 0 11
SY 0 83 100 0 0 90 0 0 0 0 0 77 106 39 0 0 0 0 0 0 0 0 0 0 0 71 0 0 0 0
TO 73 0 0 0 0 0 0 63 0 0 0 0 60 0 0 0 0 0 0 0 0 61 0 0 0 0 0 11 0 0
